,year,price,total_run,tax,engineSize,mileage_lit,model_ I10,model_ I20,model_ I30,model_ I40,model_ I800,model_ IX20,model_ IX35,model_ Ioniq,model_ Kona,model_ Santa Fe,model_ Tucson,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fule_Diesel,fule_Hybrid,fule_Petrol
117,2018,13300,29413,150,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
118,2017,12700,33808,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
124,2019,12000,7061,145,1.2,12.23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
125,2015,8250,29980,0,1.6,20.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
126,2017,7999,44120,150,1.0,16.59,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
127,2011,7799,48528,300,2.0,10.36,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
128,2016,14999,20645,205,2.0,12.44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
129,2017,18999,20599,150,2.2,11.31,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
130,2012,3799,56582,20,1.2,16.22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
131,2015,7803,43022,0,1.6,20.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
132,2016,12995,37688,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
133,2016,16498,12163,200,2.0,12.23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
134,2015,8998,16412,145,1.4,12.87,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
135,2019,14298,6874,145,1.0,11.65,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
136,2013,7298,50998,145,1.7,12.87,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
137,2016,5998,41883,30,1.2,15.22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
138,2018,11998,5404,145,1.6,19.63,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
139,2018,15998,36815,145,2.5,7.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
140,2014,5498,13840,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
141,2016,7498,56693,0,1.6,20.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
142,2015,6498,57819,125,1.4,13.31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
143,2019,15498,5630,145,1.0,11.65,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
144,2017,8498,19685,145,1.2,15.56,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
145,2017,13698,17539,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
146,2017,6998,39968,145,1.2,15.24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
147,2017,13998,21679,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
148,2017,14498,9146,150,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
149,2019,19998,1477,145,2.5,8.37,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
150,2018,12498,12834,145,1.0,13.82,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
151,2017,8998,59626,150,1.7,17.78,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
152,2016,8298,28355,125,1.4,13.31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
153,2018,15995,23400,145,1.0,13.82,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
154,2015,9495,46000,145,1.7,14.08,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
155,2018,8998,24070,145,1.0,15.24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
156,2019,14998,3010,145,1.4,10.96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
157,2019,14998,3303,145,1.4,10.96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
158,2019,21998,1391,135,1.6,13.82,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
159,2017,8998,16900,145,1.2,14.64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
160,2016,10998,29347,30,1.7,17.36,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
161,2016,9498,17206,30,1.0,15.56,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
162,2015,5998,8116,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
163,2015,7998,20077,125,1.4,13.31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
164,2017,7998,28502,145,1.2,14.64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
165,2015,7398,23656,30,1.2,14.64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
166,2015,6698,43795,125,1.4,13.58,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
167,2017,8598,9392,30,1.2,15.56,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
168,2019,23498,1437,145,2.0,8.98,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
169,2019,14998,2383,145,1.0,11.65,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
170,2019,34998,4133,145,2.2,10.36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
171,2019,34998,4956,145,2.2,10.36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
172,2019,15998,3454,145,1.6,9.33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
173,2019,14998,3001,145,1.4,10.96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
174,2019,15498,14877,150,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
175,2019,18998,3649,150,1.6,9.56,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
176,2017,14498,12811,150,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
177,2017,15298,19066,150,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
178,2017,15998,11231,150,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
179,2017,6498,23692,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
180,2017,15998,48034,205,2.2,12.44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
181,2016,12498,41953,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
182,2014,5998,42386,30,1.6,16.96,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
183,2018,16500,12875,145,1.6,10.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
184,2015,16998,38514,265,2.2,11.15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
185,2016,10998,20258,160,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
186,2017,15998,12150,145,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
187,2016,18698,14884,235,2.0,11.49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
188,2017,11498,35213,145,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
189,2018,14998,7482,145,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
190,2019,15498,12077,145,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
191,2017,13498,5863,160,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
192,2018,9985,20796,145,1.4,12.05,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
193,2017,7498,8788,145,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
194,2019,15998,17841,150,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
195,2015,8798,21701,150,1.4,12.87,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
196,2019,15498,15751,150,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
197,2016,8298,17499,30,1.2,14.64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
198,2019,14998,6717,150,1.0,11.65,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
199,2019,20998,5530,140,1.6,16.59,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
200,2019,20998,4672,140,1.6,13.82,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
201,2017,10485,17609,145,1.6,19.13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
202,2018,21985,13436,145,2.2,12.44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
203,2020,14485,100,145,1.2,13.58,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
204,2020,14485,100,145,1.2,12.23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
205,2016,11485,53963,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
206,2016,7489,51552,30,1.2,14.93,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
207,2017,19429,38452,150,2.2,11.31,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
208,2017,6995,20200,145,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
209,2019,9985,5223,150,1.2,15.22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
211,2016,13298,35251,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
212,2019,19998,7761,145,2.5,8.37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
213,2015,9298,34572,30,1.7,17.36,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
214,2017,14985,42858,205,2.0,12.65,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
215,2018,13985,15563,150,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
216,2017,11485,17393,145,1.7,17.36,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
217,2017,10785,19273,145,1.6,19.63,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
218,2017,10485,15359,145,1.6,19.13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
219,2019,9485,10758,145,1.2,12.23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
220,2019,10485,13484,145,1.2,12.23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
221,2017,8985,18266,145,1.6,19.13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
222,2016,14798,23865,125,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
223,2017,13698,31739,145,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
224,2017,14498,17754,125,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
225,2014,5498,23928,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
226,2016,11498,40297,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
227,2015,8250,59238,145,1.7,14.34,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
228,2017,7495,25203,30,1.2,15.24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
229,2017,15985,35154,325,2.5,8.88,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
230,2015,7885,59817,145,1.7,14.34,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
231,2015,7995,54783,150,1.7,14.08,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
232,2019,10485,11166,145,1.2,12.23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
233,2016,10998,40191,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
234,2017,8498,12588,145,1.2,14.64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
